date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jun 30, 2016",End of loan,Italy,8970,Frosinone ,19671,800 Th. €,Daniel Pavlovic,15/16,Switzerland,504,Grasshoppers 
"Jul 18, 2015",Loan,Switzerland,504,Grasshoppers ,19671,750 Th. €,Daniel Pavlovic,15/16,Italy,8970,Frosinone 
"Sep 1, 2011",-,Switzerland,515,Unattached ,19671,400 Th. €,Daniel Pavlovic,11/12,,504,Grasshoppers 
"Jul 1, 2011",-,Switzerland,1277,FC Schaffhausen ,19671,400 Th. €,Daniel Pavlovic,11/12,,515,Unattached 
"Jun 30, 2011",End of loan,Switzerland,504,Grasshoppers ,19671,400 Th. €,Daniel Pavlovic,10/11,Switzerland,1277,FC Schaffhausen 
"Jul 1, 2010",Loan,Switzerland,1277,FC Schaffhausen ,19671,300 Th. €,Daniel Pavlovic,10/11,Switzerland,504,Grasshoppers 
"Jun 30, 2010",End of loan,Germany,2,1.FC K'lautern ,19671,300 Th. €,Daniel Pavlovic,09/10,Switzerland,1277,FC Schaffhausen 
"Jul 1, 2009",Loan,Switzerland,1277,FC Schaffhausen ,19671,150 Th. €,Daniel Pavlovic,09/10,Germany,2,1.FC K'lautern 
"Aug 1, 2007",Free transfer,Germany,245,SC Freiburg II ,19671,150 Th. €,Daniel Pavlovic,07/08,Switzerland,1277,FC Schaffhausen 
"Jul 1, 2006",-,Germany,4042,SC Freiburg U19 ,19671,150 Th. €,Daniel Pavlovic,06/07,Germany,245,SC Freiburg II 
"Jul 1, 2004",Free transfer,Switzerland,9248,FCSG U18 ,19671,-,Daniel Pavlovic,04/05,Germany,4042,SC Freiburg U19 
"Jul 1, 2013",?,Italy,130,Parma ,29605,350 Th. €,Daniel Ciofani,13/14,Italy,8970,Frosinone 
"Jun 30, 2013",End of loan,Italy,839,Perugia ,29605,350 Th. €,Daniel Ciofani,12/13,Italy,130,Parma 
"Aug 1, 2012",Loan,Italy,130,Parma ,29605,400 Th. €,Daniel Ciofani,12/13,Italy,839,Perugia 
"Jun 30, 2012",End of loan,Italy,4326,AS Gubbio ,29605,400 Th. €,Daniel Ciofani,11/12,Italy,130,Parma 
"Aug 1, 2011",Loan,Italy,130,Parma ,29605,400 Th. €,Daniel Ciofani,11/12,Italy,4326,AS Gubbio 
"Jul 1, 2011",600 Th. €,Italy,9353,Atletico Roma ,29605,400 Th. €,Daniel Ciofani,11/12,Italy,130,Parma 
"Jul 1, 2008",?,Italy,8304,Gela ,29605,60 Th. €,Daniel Ciofani,08/09,Italy,9353,Atletico Roma 
"Jan 1, 2008",?,Italy,2921,Pescara ,29605,60 Th. €,Daniel Ciofani,07/08,Italy,8304,Gela 
"Jun 30, 2007",End of loan,Italy,10686,Celano ,29605,60 Th. €,Daniel Ciofani,06/07,Italy,2921,Pescara 
"Aug 1, 2006",Loan,Italy,2921,Pescara ,29605,60 Th. €,Daniel Ciofani,06/07,Italy,10686,Celano 
