date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 20, 2015",Free transfer,Ukraine,6414,Metalist ,25734,900 Th. €,Denys Kulakov,15/16,Russia,11127,Ural 
"Jul 1, 2014",Free transfer,Ukraine,339,Dnipropetrovsk ,25734,"1,20 Mill. €",Denys Kulakov,14/15,Ukraine,6414,Metalist 
"Jul 1, 2011",?,Ukraine,2740,Vorskla ,25734,"1,50 Mill. €",Denys Kulakov,11/12,Ukraine,339,Dnipropetrovsk 
"Jul 1, 2008",Swap deal,Ukraine,660,Shakhtar D. ,25734,750 Th. €,Denys Kulakov,08/09,Ukraine,2740,Vorskla 
"Jun 30, 2008",End of loan,Ukraine,2740,Vorskla ,25734,750 Th. €,Denys Kulakov,07/08,Ukraine,660,Shakhtar D. 
"Jul 1, 2007",Loan,Ukraine,660,Shakhtar D. ,25734,-,Denys Kulakov,07/08,Ukraine,2740,Vorskla 
"Jun 30, 2007",End of loan,Ukraine,6993,Ilyichivets ,25734,-,Denys Kulakov,06/07,Ukraine,660,Shakhtar D. 
"Jan 1, 2006",Loan,Ukraine,660,Shakhtar D. ,25734,-,Denys Kulakov,05/06,Ukraine,6993,Ilyichivets 
"Jan 1, 2005",-,Ukraine,8963,Shakhtar II ,25734,-,Denys Kulakov,04/05,Ukraine,660,Shakhtar D. 
"Jul 1, 2003",-,Ukraine,31606,Shakhtar Donetsk U17 ,25734,-,Denys Kulakov,03/04,Ukraine,8963,Shakhtar II 
"Jun 1, 2002",?,Ukraine,31199,UFK Kharkiv ,25734,-,Denys Kulakov,01/02,Ukraine,31606,Shakhtar Donetsk U17 
"Jul 16, 2015",Free transfer,Norway,195,Rosenborg BK ,50617,"1,20 Mill. €",Stefan Strandberg,15/16,Russia,16704,FK Krasnodar 
"Feb 1, 2012",?,Norway,76,Valerenga ,50617,"1,20 Mill. €",Stefan Strandberg,11/12,Norway,195,Rosenborg BK 
"Sep 1, 2009",End of loan,Norway,1057,Bryne FK ,50617,100 Th. €,Stefan Strandberg,09/10,Norway,76,Valerenga 
"Aug 1, 2009",Loan,Norway,76,Valerenga ,50617,100 Th. €,Stefan Strandberg,09/10,Norway,1057,Bryne FK 
"Jan 1, 2009",?,Norway,4411,Mandalskamerat. ,50617,-,Stefan Strandberg,08/09,Norway,76,Valerenga 
"Dec 1, 2006",?,Norway,75,Unknown ,50617,-,Stefan Strandberg,06/07,,4411,Mandalskamerat. 
"Feb 2, 2016",Free transfer,Brazil,609,Cruzeiro ,52514,"1,20 Mill. €",Pedro Ken,15/16,Russia,3725,Terek Grozny 
"Dec 31, 2015",End of loan,Brazil,2125,Vitória ,52514,"1,20 Mill. €",Pedro Ken,15/16,Brazil,609,Cruzeiro 
"May 15, 2015",Loan,Brazil,609,Cruzeiro ,52514,"1,00 Mill. €",Pedro Ken,14/15,Brazil,2125,Vitória 
"May 14, 2015",End of loan,Brazil,776,Coritiba FC ,52514,"1,00 Mill. €",Pedro Ken,14/15,Brazil,609,Cruzeiro 
"Jan 8, 2015",Loan,Brazil,609,Cruzeiro ,52514,"1,00 Mill. €",Pedro Ken,14/15,Brazil,776,Coritiba FC 
"Dec 31, 2014",End of loan,Brazil,978,Vasco da Gama ,52514,"1,00 Mill. €",Pedro Ken,14/15,Brazil,609,Cruzeiro 
"Jan 1, 2014",Loan,Brazil,609,Cruzeiro ,52514,750 Th. €,Pedro Ken,13/14,Brazil,978,Vasco da Gama 
"Dec 31, 2013",End of loan,Brazil,978,Vasco da Gama ,52514,750 Th. €,Pedro Ken,13/14,Brazil,609,Cruzeiro 
"Jan 1, 2013",Loan,Brazil,609,Cruzeiro ,52514,400 Th. €,Pedro Ken,12/13,Brazil,978,Vasco da Gama 
"Dec 31, 2012",End of loan,Brazil,2125,Vitória ,52514,400 Th. €,Pedro Ken,12/13,Brazil,609,Cruzeiro 
"Jan 1, 2012",Loan,Brazil,609,Cruzeiro ,52514,400 Th. €,Pedro Ken,11/12,Brazil,2125,Vitória 
