clubId,league,name
3182,CSL,Shandong Luneng Taishan
17250,CSL,Shaanxi Chanba
9982,CSL,Henan Jianye
1079,CSL,Liaoning FC
3187,CSL,Tianjin Teda
3178,CSL,Dalian Shide
17276,CSL,Hangzhou Greentown
4768,CSL,Changchun Yatai
3176,CSL,Beijing Guoan
1326,CSL,Chongqing Lifan
1320,CSL,Shenzhen FC
8536,CSL,Qingdao Jonoon
22219,CSL,Jiangsu Sainty
17238,CSL,Shanghai Shenxin
3183,CSL,Shanghai Shenhua
18916,CSL,Changsha Ginde
828,JL11,Urawa Red Diamonds
596,JL11,Gamba Osaka
6631,JL11,FC Tokyo
2697,JL11,Sanfrecce Hiroshima
2241,JL11,Kashima Antlers
9598,JL11,Kawasaki Frontale
6632,JL11,Kashiwa Reysol
3828,JL11,Yokohama F. Marinos
8344,JL11,Albirex Niigata
3958,JL11,Vissel Kobe
1066,JL11,Nagoya Grampus
937,JL11,Júbilo Iwata
6395,JL11,Vegalta Sendai
22177,JL11,Sagan Tosu
7452,JL11,Omiya Ardija
8457,JL11,Shonan Bellmare
9597,JL11,Avispa Fukuoka
10999,JL11,Ventforet Kofu
15541,UAE1,Al-Ahli Dubai Club
2524,UAE1,Al-Jazira (Abu Dhabi)
2150,UAE1,Al-Ain FC
5432,UAE1,Al-Nasr (Dubai)
161,UAE1,Al-Wahda FC Abu Dhabi
4785,UAE1,Baniyas SC
13613,UAE1,Sharjah Cultural Sports Club
16214,UAE1,Al-Wasl Sports Club
15542,UAE1,Emirates Club
31320,UAE1,Al-Fujairah SC
815,UAE1,Al-Shaab CSC
15540,UAE1,Al-Shabab Al-Arabi Club
14456,UAE1,Al-Dhafra SCC
44289,UAE1,Dibba Al-Fujairah
26091,QSL,Lekhwiya Sports Club
3229,QSL,Al-Rayyan Sports Club
33288,QSL,El-Jaish Sports Club
1230,QSL,Al-Arabi Sports Club
656,QSL,Al-Sadd Sports Club
6297,QSL,Al-Gharafa Sports Club
13509,QSL,Al-Wakrah Sports Club
10920,QSL,Umm-Salal Sport Club
4630,QSL,Al-Sailiya Sport Club
965,QSL,Qatar Sports Club
19585,QSL,Al-Kharitiyat Sports Club
3612,QSL,Al-Ahli Sports Club
5381,QSL,Al-Khor Sports Club
26730,QSL,Al-Mesaimeer Sports Club
3301,RSK1,Suwon Samsung Bluewings
6500,RSK1,FC Seoul
6502,RSK1,Jeonbuk Hyundai Motors
2996,RSK1,Incheon United FC
6505,RSK1,Sangju Sangmu Phoenix
3610,RSK1,Seongnam FC
311,RSK1,Pohang Steelers
21459,RSK1,Gangwon FC
16696,RSK1,Gyeongnam FC
2582,RSK1,Busan IPark
6503,RSK1,Jeonnam Dragons
19684,RSK1,Jeju United
6504,RSK1,Daegu FC
6499,RSK1,Daejeon Citizen FC
3535,RSK1,Ulsan Hyundai
4947,IRN1,Sepahan FC
22609,IRN1,Steel Azin FC
1076,IRN1,Esteghlal FC
6079,IRN1,Persepolis FC
6076,IRN1,Foolad FC
6081,IRN1,Zob Ahan Esfahan
17575,IRN1,Shahin Bushehr
7202,IRN1,Saba Battery Qom
6080,IRN1,Saipa FC
17499,IRN1,Malavan of Bandar Anzali
22161,IRN1,Esteghlal Ahvaz
54,IRN1,PAS Hamedan
7390,IRN1,FC Aboomoslem
19628,IRN1,Mes Kerman
6078,IRN1,Paykan FC
10684,IRN1,Rah Ahan Yazdan FC
29126,IRN1,Moghavemat Sepasi FC
12935,IRN1,Tractor Sazi FC
1114,SA1,Al-Hilal Riyadh
18544,SA1,Al-Nasr Riyadh
8023,SA1,Al-Ittihad Jeddah
9840,SA1,Al-Shabab Riyadh
18487,SA1,Al-Ahli Jeddah
7732,SA1,Al-Ettifaq
17209,SA1,Al-Wahda Mekka
9131,SA1,Al-Hazm
22381,SA1,Al-Raed
26069,SA1,Al Qadisiyah FC
26586,SA1,Najran SC
27221,SA1,Al-Fateh
8054,AUS1,Sydney FC
970,AUS1,Perth Glory
15889,AUS1,Gold Coast United
19723,AUS1,Northern Fury FC
7831,AUS1,Brisbane Roar
6954,AUS1,Central Coast Mariners
25580,AUS1,Melbourne Heart FC
7006,AUS1,Melbourne Victory
5551,AUS1,Newcastle United Jets
875,AUS1,Adelaide United
8445,AUS1,Wellington Phoenix
25449,THA1,Buriram United
21283,THA1,Muangthong United
34853,THA1,Suphanburi FC
25445,THA1,Bangkok United
12533,THA1,Chonburi FC
25444,THA1,Bangkok Glass
35387,THA1,Ratchaburi Mitr Phol FC
6726,THA1,BEC Tero Sasana
6759,THA1,Chiangrai United
27070,THA1,Nakhon Ratchasima FC
34292,THA1,Chainat Hornbill FC
32311,THA1,Army United
21627,THA1,Osotspa Samut Prakan FC
31738,THA1,Sisaket FC
25446,THA1,Pattaya United
6761,THA1,Navy FC
50658,THA1,Sukhothai FC
25447,THA1,Big Bang Chula United
11396,NZL1,Waitakere United
11391,NZL1,Auckland City FC
16020,NZL1,Waikato FC
16021,NZL1,YoungHeart Manawatu
18385,NZL1,Team Wellington
8795,NZL1,Otago United
11319,NZL1,Hawke’s Bay United
16183,NZL1,Canterbury United
15974,HGKG,Eastern AA
15979,HGKG,Kitchee SC
11720,HGKG,South China AA
24896,HGKG,Hong Kong Pegasus FC
15976,HGKG,Hong Kong Rangers
34397,HGKG,Yuen Long District SA
36670,HGKG,Southern District
34286,HGKG,Dreams Metro Gallery
43738,HGKG,Wong Tai Sin
7142,LIB1,Al-Nejmeh
15720,LIB1,Al-Ahed
15724,LIB1,Safa Beirut SC
18761,LIB1,Racing Beirut
5565,LIB1,AC Tripoli
2468,LIB1,Al-Ansar
22844,LIB1,Shabab Gazieh
22843,LIB1,Salam Zgharta
22845,LIB1,Shabab Sahel
37600,LIB1,Al-Ijtimai Tripoli
46845,LIB1,Al-Nabi Sheet Club
22199,LIB1,Al-Hikma
45276,IND1,NorthEast United FC
45274,IND1,Mumbai City FC
45275,IND1,FC Pune City
45321,IND1,FC Goa
45278,IND1,Atlético de Kolkata
45299,IND1,Chennaiyin FC
45277,IND1,Kerala Blasters FC
45080,IND1,Delhi Dynamos FC
8845,SIN1,Etoile FC
15356,SIN1,Singapore Armed Forces FC
4131,SIN1,Home United
1226,SIN1,Geylang United
6731,SIN1,Tampines Rovers
23472,SIN1,Albirex Niigata (Singapore)
15752,SIN1,Gombak United
6882,SIN1,Woodlands Wellington
11979,SIN1,Sengkang Punggol
15367,SIN1,Courts Young Lions
24991,SIN1,Balestier Khalsa
28520,SIN1,Beijing Guoan Talent
41030,INIL,Bengaluru FC
14101,INIL,Mohun Bagan AC
27140,INIL,Salgaocar SC Goa
14099,INIL,East Bengal FC
23522,INIL,Mumbai FC
18044,INIL,Sporting Goa
42411,INIL,DSK Shivajians
29572,INIL,Shillong Lajong FC
37891,INIL,Aizawl Football Club
43556,PHI1,Ceres–La Salle FC
36049,PHI1,Global FC
38982,PHI1,Stallion FC
35951,PHI1,Loyola Meralco Sparks FC
15305,PHI1,Kaya FC
43589,PHI1,JP Voltes FC
38978,PHI1,Green Archers United FC
38980,PHI1,Manila Nomads SC
27360,PHI1,Pasargad FC
43583,PHI1,Agila MSA FC
43587,PHI1,Forza FC
43588,PHI1,Laos FC
7,EGY1,El Ahly Cairo
664,EGY1,Zamalek SC
3595,EGY1,Ismaily SC
9218,EGY1,Enppi Club
3963,EGY1,Ittehad Alexandria
12093,EGY1,Harras El Hodoud
10957,EGY1,Petrojet
9094,EGY1,Masry Port Said
9219,EGY1,Tala'ea El Gaish
20572,EGY1,El Gouna FC
3369,EGY1,Arab Contractors SC
18268,EGY1,El Shorta
16216,EGY1,Asyut Petrol
23222,EGY1,Entag El Harby
13446,EGY1,Ghazl Mahalla
19466,EGY1,Mansoura SC
6356,SFA1,Mamelodi Sundowns FC
2557,SFA1,Orlando Pirates
2891,SFA1,SuperSport United
2926,SFA1,Ajax Cape Town
2695,SFA1,Moroka Swallows
568,SFA1,Kaizer Chiefs
13831,SFA1,Platinum Stars FC
9370,SFA1,AmaZulu FC
2238,SFA1,Jomo Cosmos
2303,SFA1,Mpumalanga Black Aces FC
14187,SFA1,Maritzburg United FC
7204,SFA1,Santos FC Cape Town
8607,SFA1,Bloemfontein Celtic
10680,SFA1,Bidvest Wits FC
7011,SFA1,Lamontville Golden Arrows
9368,SFA1,Free State Stars
6772,ALG1,USM Alger
8850,ALG1,MC Algier
18272,ALG1,ES Sétif
13366,ALG1,JS Kabylie
37160,ALG1,JS Saoura
31558,ALG1,MO Béjaïa
13365,ALG1,CR Belouizdad
30685,ALG1,CS Constantine
8851,ALG1,MC Oran
42083,ALG1,DRB Tadjenanet
30930,ALG1,USM El Harrach
3568,ALG1,NA Hussein-Dey
30505,ALG1,ASM Oran
37682,ALG1,RC Rélizane
8544,ALG1,USM Blida
37683,ALG1,RC Arbaa
250,TUN1,Etoile Sportive du Sahel
819,TUN1,Club Africain Tunis
3342,TUN1,Esperance Tunis
581,TUN1,Club Sportif Sfaxien
4812,TUN1,Stade Tunisien
22815,TUN1,CS Hammam-Lif
12717,TUN1,Club Bizertin
22813,TUN1,Avenir Sportif de Kasserine
8117,TUN1,Olympique Beja
22817,TUN1,ES Hammam Sousse
18793,TUN1,EGS Gafsa
9890,TUN1,US Monastir
2205,TUN1,ES Zarzis
17534,TUN1,JS Kairouanaise
2068,MAR1,Raja Casablanca
9100,MAR1,Moghreb Tétouan
9099,MAR1,FAR Rabat
6603,MAR1,Wydad Athletic Club Casablanca
22938,MAR1,KAC Kénitra
12721,MAR1,Ittihad Tanger
37176,MAR1,Renaissance de Berkane
4697,MAR1,Kawkab Marrakech
6371,MAR1,FUS Rabat
18702,MAR1,Olympique Khouribga
30650,MAR1,CR Al Hoceima
3282,MAR1,MAS Fes
14462,MAR1,Difaa El Jadida
22944,MAR1,Olympique Safi
22941,MAR1,Mouloudia d'Oujda
22935,MAR1,Hassania d'Agadir
502,GHPL,Asante Kotoko F.C.
9079,GHPL,Ashanti Gold SC
3601,GHPL,Hearts of Oak
28374,GHPL,Aduana Stars
31855,GHPL,Medeama SC
37487,GHPL,Dreams FC
13607,GHPL,Liberty Professionals Accra
35137,GHPL,Berekum Chelsea
35141,GHPL,New Edubiase United
25065,GHPL,Bechem United
2030,GHPL,Sekondi Hasaacas FC
46484,GHPL,West African Football Academy
34374,GHPL,Ebusua Dwarfs
32840,GHPL,Inter Allies FC
53575,GHPL,Techiman City
18743,GHPL,Wa All Stars FC
